Age;Depth (cm);Sedimentation rate;Sedimentation rate x 1000;Concentration (grains/cm3) / 1000;picea;betula;pinus;populus;alnus.crispa;alnus.rugosa;juniperus;salix;larix;cyperaceae;ericaceae;myrica;lycopodium;artemisia;poaceae;pediastrum;nuphar;potamogeton;tetrade;saxifragaceae;epilobium.palustris;coptis.trifolia;ambrosia;thalictrum;sparganium;rosaceae;equisetum;chenopodiaceae;scutellaria.galericulata;aster;dryas;brassicaceae;caryophyllaceae;sparganiaceae;sheperdia.canadensis;rubus;cruciferae;ranunculaceae;papaveraceae
4555;233;0.057142857;57.142857;37.82781457;33.50840336;46.63865546;5.987394958;0;7.878151261;1.260504202;0.31512605;0.630252101;0;1.890756303;1.260504202;0;0;0;0.31512605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4590;235;0.0625;62.5;23.38582677;41.71717172;39.39393939;6.767676768;0.303030303;4.545454545;2.727272727;0.303030303;0.303030303;0;0.909090909;1.515151515;0;0.909090909;0;0.303030303;0;0.303030303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4622;237;0.058823529;58.823529;50.9321267;51.81236674;31.34328358;2.771855011;0.639658849;10.23454158;1.599147122;0;0;0;0.319829424;0.639658849;0;0;0;0.319829424;0;0;0;0;0.319829424;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4656;239;0.0625;62.5;37.6;46.62349676;28.58464385;5.365402405;0;10.82331175;3.330249769;0;0.832562442;0.277520814;0.832562442;1.665124884;0;0.555041628;0.277520814;0;0;0;0;0;0.277520814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4688;241;0.066666667;66.666667;23.33840304;52.19941349;25.21994135;6.451612903;0.293255132;8.797653959;2.639296188;0.293255132;0.293255132;0;0.586510264;1.759530792;0;0;0.586510264;0.293255132;0;0.586510264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.257953568;0
4718;243;0.066666667;66.666667;28.24615385;54.03050109;31.37254902;1.525054466;0;6.209150327;2.287581699;0;1.307189542;0;1.307189542;0.326797386;0.326797386;0;0.326797386;0.326797386;0;0.326797386;0;0;0;0;0;0;0;0;0;0.298210736;0;0;0;0;0;0;0;0;0;0;0;0
4748;245;0.058823529;58.823529;38.89250814;52.46231156;27.43718593;8.341708543;0;7.537688442;0.904522613;0.301507538;0.301507538;0.301507538;0.301507538;1.206030151;0;0;0;0;0;0.603015075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4782;247;0.0625;62.5;54.94736842;67.43295019;21.83908046;2.969348659;0;4.310344828;0.287356322;0.287356322;0;0;1.149425287;0.862068966;0.287356322;0;0;0;0;0.287356322;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4814;249;0.0625;62.5;42.77894737;63.09055118;21.55511811;5.61023622;0.885826772;5.31496063;1.181102362;0.590551181;0;0;0.590551181;0.885826772;0;0;0;0.295275591;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4846;251;0.060606061;60.606061;53.26829268;43.04029304;29.67032967;7.234432234;0.549450549;11.26373626;2.197802198;0;0.549450549;0.274725275;3.021978022;1.648351648;0.274725275;0;0;0;0;0.274725275;0;0;0;0;0;0;0;0;0;0.272232305;0;0;0.272232305;0;0;0;0;0;0;0;0;0
