DepthTop;DepthBottom;AgeTop;AgeBottom;Volume;Charcoal
337;338;9691;9718;1;0.1
338;339;9718;9742;1;0.09
339;340;9742;9766;1;10.53
340;341;9766;9789;1;0.73
341;342;9789;9812;1;1.07
342;343;9812;9837;1;0.61
343;344;9837;9862;1;0.53
344;345;9862;9887;1;0.12
345;346;9887;9908;1;0.44
346;347;9908;9930;1;0.32
347;348;9930;9953;1;0.4
348;349;9953;9977;1;0.05
349;350;9977;10000;1;0.63
350;351;10000;10019;1;1.14
351;352;10019;10039;1;0
352;353;10039;10060;1;0
353;354;10060;10080;1;0
354;355;10080;10105;1;0.02
355;356;10105;10131;1;0
356;357;10131;10151;1;0.02
357;358;10151;10170;1;0.08
358;359;10170;10191;1;0.03
359;360;10191;10208;1;0.02
360;361;10208;10229;1;0.05
361;362;10229;10250;1;0.06
362;363;10250;10269;1;0.04
363;364;10269;10289;1;0.06
364;365;10289;10307;1;0.06
365;366;10307;10326;1;0.03
366;367;10326;10345;1;0
367;368;10345;10364;1;0.06
368;369;10364;10383;1;0.08
369;370;10383;10404;1;0.08
370;371;10404;10424;1;0.1
371;372;10424;10444;1;0.08
372;373;10444;10463;1;0.12
373;374;10463;10484;1;0.07
374;375;10484;10504;1;0.05
375;376;10504;10528;1;0.06
376;377;10528;10548;1;0.03
377;378;10548;10570;1;0.05
378;379;10570;10591;1;0.03
379;380;10591;10611;1;0.07
380;381;10611;10632;1;0
381;382;10632;10654;1;0.03
382;383;10654;10675;1;0
383;384;10675;10695;1;0
384;385;10695;10716;1;0
385;386;10716;10737;1;0
386;387;10737;10758;1;0
387;388;10758;10781;1;0.02
388;389;10781;10800;1;0
389;390;10800;10821;1;0
390;391;10821;10840;1;0
391;392;10840;10860;1;0
392;393;10860;10880;1;0
393;394;10880;10900;1;0
394;395;10900;10920;1;0.04
