age;depth;Sedimentation rate;PAR;Picea;Betula;Pinus;Populus;Alnus.crispa;Alnus.rugosa;Juniperus;Salix;Larix;Cyperaceae;Pediastrum;Ericaceae;Myrica;Lycopodium;Nuphar;Potamogeton;Artemisia;Poaceae;;;;;;;;;;;;;;;;;;;;
4086;353;0.049247938;1667.75567;834.6682405;469.5008853;164.4043504;0;66.39406458;61.6516314;0;0;9.484866369;14.22729955;0;42.68189866;0;0;0;9.484866369;4.742433184;0;;;;;;;;;;;;;;;;;;;;
4149;357;0.049438739;1399.679991;824.5282747;307.0358785;160.0046127;0;34.59559194;34.59559194;4.324448993;4.324448993;0;8.648897986;0;17.29779597;0;4.324448993;4.324448993;4.324448993;0;0;;;;;;;;;;;;;;;;;;;;
4202;361;0.04963538;1630.378225;1047.604732;374.6401027;62.44001711;0;62.44001711;20.81333904;0;0;0;20.81333904;0;26.0166738;0;0;0;5.203334759;10.40666952;5.203334759;;;;;;;;;;;;;;;;;;;;
4265;365;0.049837738;2339.388569;1389.96139;607.6333945;129.1220963;0;113.9312615;45.57250459;0;0;0;22.78625229;0;22.78625229;0;7.595417431;7.595417431;0;0;0;;;;;;;;;;;;;;;;;;;;
4330;369;0.050045704;2924.528302;1880.896226;539.504717;159.1981132;0;150.3537736;106.1320755;0;0;0;44.22169811;0;44.22169811;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
4392;373;0.050259184;1928.812204;779.294978;781.5803005;73.13032052;13.7119351;123.4074159;75.41564303;6.855967548;6.855967548;6.855967548;6.855967548;0;34.27983774;6.855967548;0;0;0;13.7119351;0;;;;;;;;;;;;;;;;;;;;
4423;375;0.050369375;2211.621349;1018.047922;765.2911968;140.4204031;0;203.6095845;70.21020154;0;0;0;14.04204031;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
4455;377;0.050466874;1893.325691;1123.010604;468.5059865;122.8292848;5.264112207;105.2822441;5.264112207;0;5.264112207;5.264112207;10.52822441;0;36.84878545;5.264112207;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
4490;379;0.050574205;1980.734497;872.9680915;734.4972908;60.20469597;0;186.6345575;60.20469597;0;24.08187839;0;24.08187839;0;12.04093919;0;6.020469597;6.020469597;0;0;0;;;;;;;;;;;;;;;;;;;;
4523;381;0.050680123;2202.260214;1223.725564;575.0841451;202.8397566;0;100.3053741;53.49619954;0;20.06107483;0;0;0;20.06107483;0;0;6.687024943;0;6.687024943;0;;;;;;;;;;;;;;;;;;;;
